Fecha,Índice COLCAP
2010-03-10,1403.82
2010-03-11,1405.26
2010-03-12,1406.49
2010-03-15,1404.42
2010-03-16,1411.71
2010-03-17,1429.4
2010-03-18,1432.3
2010-03-19,1414.1
2010-03-23,1426.74
2010-03-24,1422.69
2010-03-25,1427.24
2010-03-26,1423.02
2010-03-29,1429.29
2010-03-30,1430.71
2010-03-31,1440.58
2010-04-05,1450.93
2010-04-06,1460.3
2010-04-07,1472.19
2010-04-08,1472.76
2010-04-09,1468.95
2010-04-12,1470.7
2010-04-13,1470.91
2010-04-14,1478.47
2010-04-15,1481.14
2010-04-16,1463.27
2010-04-19,1453.14
2010-04-20,1467.76
2010-04-21,1475.06
2010-04-22,1478.51
2010-04-23,1488.05
2010-04-26,1484.44
2010-04-27,1472.11
2010-04-28,1457.28
2010-04-29,1469.22
2010-04-30,1467.26
2010-05-03,1490.16
2010-05-04,1481.63
2010-05-05,1446.55
2010-05-06,1403.06
2010-05-07,1412.8
2010-05-10,1438.18
2010-05-11,1442.63
2010-05-12,1451.06
2010-05-13,1454.93
2010-05-14,1444.27
2010-05-18,1424.49
2010-05-19,1406.37
2010-05-20,1395.99
2010-05-21,1397.39
2010-05-24,1410.93
2010-05-25,1399.25
2010-05-26,1432.82
2010-05-27,1428.47
2010-05-28,1446.48
2010-05-31,1444.54
2010-06-01,1447.26
2010-06-02,1451.91
2010-06-03,1453.36
2010-06-04,1438.3
2010-06-08,1433.27
2010-06-09,1445.53
2010-06-10,1446.34
2010-06-11,1448.08
2010-06-15,1450.71
2010-06-16,1461.39
2010-06-17,1460.56
2010-06-18,1472.41
2010-06-21,1466.78
2010-06-22,1467.67
2010-06-23,1471.95
2010-06-24,1468.73
2010-06-25,1475.04
2010-06-28,1472.02
2010-06-29,1453.6
2010-06-30,1466.78
2010-07-01,1459.01
2010-07-02,1455.04
2010-07-06,1463.82
2010-07-07,1462.81
2010-07-08,1474.59
2010-07-09,1478.49
2010-07-12,1496.79
2010-07-13,1507.16
2010-07-14,1521.17
2010-07-15,1532.45
2010-07-16,1526.67
2010-07-19,1528.75
2010-07-21,1565.5
2010-07-22,1566.33
2010-07-23,1569.86
2010-07-26,1596.49
2010-07-27,1602.61
2010-07-28,1591.33
2010-07-29,1562.05
2010-07-30,1571.62
2010-08-02,1575.01
2010-08-03,1586.92
2010-08-04,1595.44
2010-08-05,1601.01
2010-08-06,1580.41
2010-08-09,1582.51
2010-08-10,1577.34
2010-08-11,1558.12
2010-08-12,1557.42
2010-08-13,1567.78
2010-08-17,1575.02
2010-08-18,1581.48
2010-08-19,1586.73
2010-08-20,1585.6
2010-08-23,1606.82
2010-08-24,1605.58
2010-08-25,1602.95
2010-08-26,1616.93
2010-08-27,1639.89
2010-08-30,1642.91
2010-08-31,1664.18
2010-09-01,1713.81
2010-09-02,1681.03
2010-09-03,1687.24
2010-09-06,1719.62
2010-09-07,1715.27
2010-09-08,1735.68
2010-09-09,1730.15
2010-09-10,1699.91
2010-09-13,1695.47
2010-09-14,1703.11
2010-09-15,1693.44
2010-09-16,1691.32
2010-09-17,1691.24
2010-09-20,1709.46
2010-09-21,1716.15
2010-09-22,1707.34
2010-09-23,1693.47
2010-09-24,1697.26
2010-09-27,1711.46
2010-09-28,1744.84
2010-09-29,1766.22
2010-09-30,1769.5
2010-10-01,1766.79
2010-10-04,1766.42
2010-10-05,1794.73
2010-10-06,1825.05
2010-10-07,1808.89
2010-10-08,1826.38
2010-10-11,1845.91
2010-10-12,1842.54
2010-10-13,1873.5
2010-10-14,1855.43
2010-10-15,1833.59
2010-10-19,1857.75
2010-10-20,1860.52
2010-10-21,1877.98
2010-10-22,1906.66
2010-10-25,1900.1
2010-10-26,1870.75
2010-10-27,1862.84
2010-10-28,1871.21
2010-10-29,1901.83
2010-11-02,1913.88
2010-11-03,1923.28
2010-11-04,1942.37
2010-11-05,1940.38
2010-11-08,1939.96
2010-11-09,1938.49
2010-11-10,1889.62
2010-11-11,1841.69
2010-11-12,1795.09
2010-11-16,1729.16
2010-11-17,1786.89
2010-11-18,1814.13
2010-11-19,1778.83
2010-11-22,1775.45
2010-11-23,1750.36
2010-11-24,1790.15
2010-11-25,1784.8
2010-11-26,1770.59
2010-11-29,1762.11
2010-11-30,1779.94
2010-12-01,1793.55
2010-12-02,1825.55
2010-12-03,1830.26
2010-12-06,1840.29
2010-12-07,1837.18
2010-12-09,1826.7
2010-12-10,1830.86
2010-12-13,1841.24
2010-12-14,1845.71
2010-12-15,1823.61
2010-12-16,1826.74
2010-12-17,1823.1
2010-12-20,1815.55
2010-12-21,1824.82
2010-12-22,1839.59
2010-12-23,1846.5
2010-12-24,1853.24
2010-12-27,1866.12
2010-12-28,1849.51
2010-12-29,1839.72
2010-12-30,1823.7
2011-01-03,1795.4
2011-01-04,1786.16
2011-01-05,1798.9
2011-01-06,1769.77
2011-01-07,1760.5
2011-01-11,1756.71
2011-01-12,1785.15
2011-01-13,1798.43
2011-01-14,1797.66
2011-01-17,1796.87
2011-01-18,1792.91
2011-01-19,1766.43
2011-01-20,1739.88
2011-01-21,1762.48
2011-01-24,1759.56
2011-01-25,1758.52
2011-01-26,1768.81
2011-01-27,1771.51
2011-01-28,1760.54
2011-01-31,1774.89
2011-02-01,1763.98
2011-02-02,1752.42
2011-02-03,1740.59
2011-02-04,1718.06
2011-02-07,1688.2
2011-02-08,1693.72
2011-02-09,1706.28
2011-02-10,1684.94
2011-02-11,1695.93
2011-02-14,1703.89
2011-02-15,1696.37
2011-02-16,1689.95
2011-02-17,1666.93
2011-02-18,1644.66
2011-02-21,1658.33
2011-02-22,1661.43
2011-02-23,1698.63
2011-02-24,1699.17
2011-02-25,1713.4
2011-02-28,1750.97
2011-03-01,1762.02
2011-03-02,1760.13
2011-03-03,1782.06
2011-03-04,1788.14
2011-03-07,1778.92
2011-03-08,1757.98
2011-03-09,1765.67
2011-03-10,1728.54
2011-03-11,1699.01
2011-03-14,1685.54
2011-03-15,1645.96
2011-03-16,1638.58
2011-03-17,1708.98
2011-03-18,1739.16
2011-03-22,1740.98
2011-03-23,1743.02
2011-03-24,1742.05
2011-03-25,1727.79
2011-03-28,1721.7
2011-03-29,1708.76
2011-03-30,1703.93
2011-03-31,1718.45
2011-04-01,1708.59
2011-04-04,1707.14
2011-04-05,1719.39
2011-04-06,1724.42
2011-04-07,1723.94
2011-04-08,1708.66
2011-04-11,1703.1
2011-04-12,1676.58
2011-04-13,1682.54
2011-04-14,1670.12
2011-04-15,1670.18
2011-04-18,1653.76
2011-04-19,1661.23
2011-04-20,1691.73
2011-04-25,1689.11
2011-04-26,1697.39
2011-04-27,1690.59
2011-04-28,1697.39
2011-04-29,1700.68
2011-05-02,1692.14
2011-05-03,1671.95
2011-05-04,1675.38
2011-05-05,1643.3
2011-05-06,1652.88
2011-05-09,1670.42
2011-05-10,1692.77
2011-05-11,1697.55
2011-05-12,1703.03
2011-05-13,1706.76
2011-05-16,1700.03
2011-05-17,1713.15
2011-05-18,1710.67
2011-05-19,1706.13
2011-05-20,1710.5
2011-05-23,1709.07
2011-05-24,1721.44
2011-05-25,1717.92
2011-05-26,1733.2
2011-05-27,1732.02
2011-05-30,1737.87
2011-05-31,1760.4
2011-06-01,1753.64
2011-06-02,1752.74
2011-06-03,1753.31
2011-06-07,1750.15
2011-06-08,1755.85
2011-06-09,1753.2
2011-06-10,1751.77
2011-06-13,1730
2011-06-14,1729.69
2011-06-15,1701.98
2011-06-16,1701.45
2011-06-17,1702.44
2011-06-20,1697
2011-06-21,1709.27
2011-06-22,1721.61
2011-06-23,1712.98
2011-06-24,1710.15
2011-06-28,1711.42
2011-06-29,1718.91
2011-06-30,1700.43
2011-07-01,1707.03
2011-07-05,1716.02
2011-07-06,1677.4
2011-07-07,1673.86
2011-07-08,1656.36
2011-07-11,1612.67
2011-07-12,1597.89
2011-07-13,1610.84
2011-07-14,1585.16
2011-07-15,1584.07
2011-07-18,1589.3
2011-07-19,1628.2
2011-07-21,1644.74
2011-07-22,1645.71
2011-07-25,1655.68
2011-07-26,1664.25
2011-07-27,1652.59
2011-07-28,1671.32
2011-07-29,1659.39
2011-08-01,1669.63
2011-08-02,1658.98
2011-08-03,1651.57
2011-08-04,1601.41
2011-08-05,1588.1
2011-08-08,1535.48
2011-08-09,1578.06
2011-08-10,1582.2
2011-08-11,1600.32
2011-08-12,1611.13
2011-08-16,1620.63
2011-08-17,1624.14
2011-08-18,1581.3
2011-08-19,1573.1
2011-08-22,1572.63
2011-08-23,1594.98
2011-08-24,1606.58
2011-08-25,1597.83
2011-08-26,1598.55
2011-08-29,1621.76
2011-08-30,1642.79
2011-08-31,1642.53
